service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
195136,1,1,1,1,1,0,0,20240902,20260501
192103,0,0,0,0,0,1,1,20240630,20260501
195265,1,1,1,1,1,0,0,20240902,20260501
173162,0,0,0,0,0,1,1,20230902,20260501
195267,1,1,1,1,1,0,0,20240902,20260501
172691,0,0,0,0,0,1,1,20230902,20260501
198437,1,1,1,1,1,0,0,20240923,20260501
201275,1,1,1,1,1,0,0,20241202,20260501
196136,0,0,0,0,0,1,1,20240907,20260501
195269,1,1,1,1,1,0,0,20240902,20260501
211773,1,1,1,1,1,0,0,20250411,20260501
199172,1,1,1,1,1,0,0,20241202,20260501
199171,1,1,1,1,1,0,0,20241202,20260501
174884,0,0,0,0,0,1,1,20230311,20260501
210210,0,0,0,0,0,1,1,20250405,20260501
210208,1,1,1,1,1,0,0,20250402,20260501
210209,1,1,1,1,1,0,0,20250402,20260501
207570,1,1,1,1,1,0,0,20250317,20260501
199035,0,0,0,0,0,1,1,20241005,20260501
195571,1,1,1,1,1,0,0,20240902,20260501
147920,0,0,0,0,0,1,1,20220903,20260501
195572,1,1,1,1,1,0,0,20240902,20260501
210349,0,0,0,0,0,0,1,20250406,20260501
209040,0,0,0,0,0,1,0,20250405,20260501
209583,1,0,0,0,0,0,0,20250401,20260501
209582,0,1,0,0,0,0,0,20250401,20260501
209581,0,0,1,0,0,0,0,20250401,20260501
209584,0,0,0,1,0,0,0,20250401,20260501
209585,0,0,0,0,1,0,0,20250401,20260501
210212,1,1,1,1,1,0,0,20250402,20260501
203352,1,1,1,1,1,0,0,20241216,20260501
198158,1,1,1,1,1,0,0,20241001,20260501
186297,0,0,0,0,0,1,1,20240330,20260501
210719,1,1,1,1,1,0,0,20250422,20260501
211166,0,0,0,0,0,1,1,20250419,20260501
195576,1,1,1,1,1,0,0,20240902,20260501
172700,0,0,0,0,0,1,1,20230902,20260501
195596,1,1,1,1,1,0,0,20240902,20260501
182602,0,0,0,0,0,1,1,20240203,20260501
195580,1,1,1,1,1,0,0,20240902,20260501
208516,1,1,1,1,1,0,0,20250303,20260501
208006,0,0,0,0,0,1,1,20250301,20260501
195582,1,1,1,1,1,0,0,20240902,20260501
158097,0,0,0,0,0,1,1,20230107,20260501
195583,1,1,1,1,1,0,0,20240902,20260501
191315,0,0,0,0,0,1,1,20240601,20260501
208515,1,1,1,1,1,0,0,20250303,20260501
208007,0,0,0,0,0,1,1,20250301,20260501
195585,1,1,1,1,1,0,0,20240902,20260501
195586,1,1,1,1,1,0,0,20240902,20260501
199166,1,1,1,1,1,0,0,20241104,20260501
