service_id,date,exception_type
195136,20260401,2
195136,20260101,2
195136,20260216,2
195136,20260311,2
195136,20260501,2
195136,20250624,2
195136,20250706,2
195136,20250815,2
195136,20251101,2
195136,20251102,2
195136,20251224,2
195136,20251225,2
195136,20251226,2
192103,20260401,1
192103,20260101,1
192103,20260216,1
192103,20260311,1
192103,20260501,1
192103,20250624,1
192103,20250706,1
192103,20250815,1
192103,20251101,1
192103,20251102,1
192103,20251224,1
192103,20251225,1
192103,20251226,1
195265,20260401,2
195265,20260101,2
195265,20260216,2
195265,20260311,2
195265,20260501,2
195265,20250624,2
195265,20250706,2
195265,20250815,2
195265,20251101,2
195265,20251102,2
195265,20251224,2
195265,20251225,2
195265,20251226,2
173162,20260401,1
173162,20260101,1
173162,20260216,1
173162,20260311,1
173162,20260501,1
173162,20250624,1
173162,20250706,1
173162,20250815,1
173162,20251101,1
173162,20251102,1
173162,20251224,1
173162,20251225,1
173162,20251226,1
195267,20260401,2
195267,20260101,2
195267,20260216,2
195267,20260311,2
195267,20260501,2
195267,20250624,2
195267,20250706,2
195267,20250815,2
195267,20251101,2
195267,20251102,2
195267,20251224,2
195267,20251225,2
195267,20251226,2
172691,20260401,1
172691,20260101,1
172691,20260216,1
172691,20260311,1
172691,20260501,1
172691,20250624,1
172691,20250706,1
172691,20250815,1
172691,20251101,1
172691,20251102,1
172691,20251224,1
172691,20251225,1
172691,20251226,1
198437,20260401,2
198437,20260101,2
198437,20260216,2
198437,20260311,2
198437,20260501,2
198437,20250624,2
198437,20250706,2
198437,20250815,2
198437,20251101,2
198437,20251102,2
198437,20251224,2
198437,20251225,2
198437,20251226,2
201275,20260401,2
201275,20260101,2
201275,20260216,2
201275,20260311,2
201275,20260501,2
201275,20250624,2
201275,20250706,2
201275,20250815,2
201275,20251101,2
201275,20251102,2
201275,20251224,2
201275,20251225,2
201275,20251226,2
196136,20260401,1
196136,20260101,1
196136,20260216,1
196136,20260311,1
196136,20260501,1
196136,20250624,1
196136,20250706,1
196136,20250815,1
196136,20251101,1
196136,20251102,1
196136,20251224,1
196136,20251225,1
196136,20251226,1
195269,20260401,2
195269,20260101,2
195269,20260216,2
195269,20260311,2
195269,20260501,2
195269,20250624,2
195269,20250706,2
195269,20250815,2
195269,20251101,2
195269,20251102,2
195269,20251224,2
195269,20251225,2
195269,20251226,2
211773,20260401,2
211773,20260101,2
211773,20260216,2
211773,20260311,2
211773,20260501,2
211773,20250624,2
211773,20250706,2
211773,20250815,2
211773,20251101,2
211773,20251102,2
211773,20251224,2
211773,20251225,2
211773,20251226,2
199172,20260401,2
199172,20260101,2
199172,20260216,2
199172,20260311,2
199172,20260501,2
199172,20250624,2
199172,20250706,2
199172,20250815,2
199172,20251101,2
199172,20251102,2
199172,20251224,2
199172,20251225,2
199172,20251226,2
199171,20260401,2
199171,20260101,2
199171,20260216,2
199171,20260311,2
199171,20260501,2
199171,20250624,2
199171,20250706,2
199171,20250815,2
199171,20251101,2
199171,20251102,2
199171,20251224,2
199171,20251225,2
199171,20251226,2
174884,20260401,1
174884,20260101,1
174884,20260216,1
174884,20260311,1
174884,20260501,1
174884,20250624,1
174884,20250706,1
174884,20250815,1
174884,20251101,1
174884,20251102,1
174884,20251224,1
174884,20251225,1
174884,20251226,1
210210,20260401,1
210210,20260101,1
210210,20260216,1
210210,20260311,1
210210,20260501,1
210210,20250624,1
210210,20250706,1
210210,20250815,1
210210,20251101,1
210210,20251102,1
210210,20251224,1
210210,20251225,1
210210,20251226,1
210208,20260401,2
210208,20260101,2
210208,20260216,2
210208,20260311,2
210208,20260501,2
210208,20250624,2
210208,20250706,2
210208,20250815,2
210208,20251101,2
210208,20251102,2
210208,20251224,2
210208,20251225,2
210208,20251226,2
210209,20260401,2
210209,20260101,2
210209,20260216,2
210209,20260311,2
210209,20260501,2
210209,20250624,2
210209,20250706,2
